ob_id,direction,structure_tag,origin_time,detection_time,pivot_time,pivot_index,origin_index,detection_index,top,bottom,break_level,swing_length,ob_filter,origin_open,origin_high,origin_low,origin_close,parsed_high,parsed_low,width_pips,ob_origin_news_window,ob_detection_news_window,ob_origin_news_event,ob_detection_news_event,ob_origin_news_currency,ob_detection_news_currency,ob_origin_news_impact,ob_detection_news_impact,ob_origin_news_event_time,ob_detection_news_event_time,ob_origin_news_window_start,ob_origin_news_window_end,ob_detection_news_window_start,ob_detection_news_window_end,ob_origin_minutes_from_news,ob_detection_minutes_from_news,ob_final_status,ob_final_status_label,chart_right_time,chart_right_time_source,linked_trade_id,fill_time,exit_time,cancel_time,invalidation_time,protection_trigger_time,news_blackout_trigger_time,reverse_touch_time,session_cancel_time,lifecycle_reason
1,bearish,BOS,2015-01-06 06:45:00+00:00,2015-01-06 22:00:00+00:00,2015-01-05 12:30:00+00:00,155,228,289,1.19687,1.19596,1.18872,50,Atr,1.19652,1.19687,1.19596,1.196,1.19687,1.19596,9.100000000001884,False,False,ISM Manufacturing PMI,ISM Manufacturing PMI,USD,USD,high,high,2020-01-03T15:00:00,2020-01-03T15:00:00,2020-01-03T14:57:00,2020-01-03T15:03:00,2020-01-03T14:57:00,2020-01-03T15:03:00,-2625615.0,-2624700.0,unknown,UNKNOWN,2015-01-06 22:00:00+00:00,detection_time,S_1,,,,,,,,,state_target_block
2,bearish,BOS,2015-01-07 07:45:00+00:00,2015-01-07 11:30:00+00:00,2015-01-06 22:00:00+00:00,289,328,343,1.18893,1.18824,1.18461,50,Atr,1.18842,1.18893,1.18824,1.18872,1.18893,1.18824,6.900000000000794,False,False,ISM Manufacturing PMI,ISM Manufacturing PMI,USD,USD,high,high,2020-01-03T15:00:00,2020-01-03T15:00:00,2020-01-03T14:57:00,2020-01-03T15:03:00,2020-01-03T14:57:00,2020-01-03T15:03:00,-2624115.0,-2623890.0,unknown,UNKNOWN,2015-01-07 11:30:00+00:00,detection_time,S_2,,,,,,,,,state_target_block
3,bearish,BOS,2015-01-07 19:45:00+00:00,2015-01-08 08:45:00+00:00,2015-01-07 15:45:00+00:00,360,376,428,1.18585,1.18471,1.18022,50,Atr,1.18518,1.18585,1.18471,1.18502,1.18585,1.18471,11.400000000001409,False,False,ISM Manufacturing PMI,ISM Manufacturing PMI,USD,USD,high,high,2020-01-03T15:00:00,2020-01-03T15:00:00,2020-01-03T14:57:00,2020-01-03T15:03:00,2020-01-03T14:57:00,2020-01-03T15:03:00,-2623395.0,-2622615.0,loss,LOSS,2015-01-11 22:31:00+00:00,exit_time,S_3,2015-01-11 22:01:00+00:00,2015-01-11 22:31:00+00:00,,,,,,,LOSS
4,bearish,BOS,2015-01-09 13:00:00+00:00,2015-01-09 13:30:00+00:00,2015-01-08 19:15:00+00:00,470,541,543,1.18201,1.18099,1.17802,50,Atr,1.1817,1.18201,1.18099,1.18126,1.18201,1.18099,10.200000000000209,False,False,ISM Manufacturing PMI,ISM Manufacturing PMI,USD,USD,high,high,2020-01-03T15:00:00,2020-01-03T15:00:00,2020-01-03T14:57:00,2020-01-03T15:03:00,2020-01-03T14:57:00,2020-01-03T15:03:00,-2620920.0,-2620890.0,loss,LOSS,2015-01-09 13:30:00+00:00,exit_time,S_4,2015-01-09 13:30:00+00:00,2015-01-09 13:30:00+00:00,,,,,,,LOSS
5,bullish,CHoCH,2015-01-09 14:45:00+00:00,2015-01-09 15:15:00+00:00,2015-01-08 17:15:00+00:00,462,548,550,1.17859,1.17728,1.18192,50,Atr,1.1778,1.17859,1.17728,1.17833,1.17859,1.17728,13.099999999999223,False,False,ISM Manufacturing PMI,ISM Manufacturing PMI,USD,USD,high,high,2020-01-03T15:00:00,2020-01-03T15:00:00,2020-01-03T14:57:00,2020-01-03T15:03:00,2020-01-03T14:57:00,2020-01-03T15:03:00,-2620815.0,-2620785.0,loss,LOSS,2015-01-13 13:43:00+00:00,exit_time,L_5,2015-01-13 12:34:00+00:00,2015-01-13 13:43:00+00:00,,,,,,,LOSS
6,bearish,CHoCH,2015-01-13 03:00:00+00:00,2015-01-13 12:45:00+00:00,2015-01-12 12:30:00+00:00,635,693,732,1.18596,1.18451,1.17861,50,Atr,1.18455,1.18596,1.18451,1.18563,1.18596,1.18451,14.499999999999513,False,False,ISM Manufacturing PMI,ISM Manufacturing PMI,USD,USD,high,high,2020-01-03T15:00:00,2020-01-03T15:00:00,2020-01-03T14:57:00,2020-01-03T15:03:00,2020-01-03T14:57:00,2020-01-03T15:03:00,-2615760.0,-2615175.0,win,WIN,2015-01-14 14:20:00+00:00,exit_time,S_6,2015-01-14 13:51:00+00:00,2015-01-14 14:20:00+00:00,,,,,,,WIN
7,bullish,CHoCH,2015-01-13 20:00:00+00:00,2015-01-14 07:30:00+00:00,2015-01-13 16:15:00+00:00,746,761,807,1.1766,1.17588,1.17998,50,Atr,1.17641,1.1766,1.17588,1.17641,1.1766,1.17588,7.200000000000539,False,False,ISM Manufacturing PMI,ISM Manufacturing PMI,USD,USD,high,high,2020-01-03T15:00:00,2020-01-03T15:00:00,2020-01-03T14:57:00,2020-01-03T15:03:00,2020-01-03T14:57:00,2020-01-03T15:03:00,-2614740.0,-2614050.0,loss,LOSS,2015-01-14 09:33:00+00:00,exit_time,L_7,2015-01-14 09:28:00+00:00,2015-01-14 09:33:00+00:00,,,,,,,LOSS
8,bearish,CHoCH,2015-01-14 08:15:00+00:00,2015-01-14 09:30:00+00:00,2015-01-13 20:00:00+00:00,761,810,815,1.18112,1.17974,1.17588,50,Atr,1.17999,1.18112,1.17974,1.1802,1.18112,1.17974,13.799999999999368,False,False,ISM Manufacturing PMI,ISM Manufacturing PMI,USD,USD,high,high,2020-01-03T15:00:00,2020-01-03T15:00:00,2020-01-03T14:57:00,2020-01-03T15:03:00,2020-01-03T14:57:00,2020-01-03T15:03:00,-2614005.0,-2613930.0,loss,LOSS,2015-01-14 13:33:00+00:00,exit_time,S_8,2015-01-14 13:30:00+00:00,2015-01-14 13:33:00+00:00,,,,,,,LOSS
9,bearish,BOS,2015-01-14 17:00:00+00:00,2015-01-15 05:15:00+00:00,2015-01-14 15:00:00+00:00,837,845,894,1.18137,1.18029,1.17713,50,Atr,1.18061,1.18137,1.18029,1.18035,1.18137,1.18029,10.799999999999699,False,False,ISM Manufacturing PMI,ISM Manufacturing PMI,USD,USD,high,high,2020-01-03T15:00:00,2020-01-03T15:00:00,2020-01-03T14:57:00,2020-01-03T15:03:00,2020-01-03T14:57:00,2020-01-03T15:03:00,-2613480.0,-2612745.0,loss,LOSS,2017-07-31 15:59:00+00:00,exit_time,S_9,2017-07-31 15:58:00+00:00,2017-07-31 15:59:00+00:00,,,,,,,LOSS
10,bearish,BOS,2015-01-16 07:30:00+00:00,2015-01-16 14:15:00+00:00,2015-01-15 16:00:00+00:00,937,999,1026,1.16487,1.16375,1.15678,50,Atr,1.16415,1.16487,1.16375,1.16455,1.16487,1.16375,11.200000000000099,False,False,ISM Manufacturing PMI,ISM Manufacturing PMI,USD,USD,high,high,2020-01-03T15:00:00,2020-01-03T15:00:00,2020-01-03T14:57:00,2020-01-03T15:03:00,2020-01-03T14:57:00,2020-01-03T15:03:00,-2611170.0,-2610765.0,win,WIN,2015-01-19 17:55:00+00:00,exit_time,S_10,2015-01-19 15:40:00+00:00,2015-01-19 17:55:00+00:00,,,,,,,WIN
